num_features,trial,time
2,0,6.163031816482544
2,1,6.554646253585815
2,2,8.02271556854248
2,3,7.285133123397827
2,4,5.849757432937622
2,5,4.860151767730713
2,6,4.058706283569336
2,7,3.8994104862213135
4,0,10.041289329528809
4,1,10.171339273452759
4,2,11.74410605430603
4,3,8.148201942443848
4,4,10.08932375907898
4,5,8.524705410003662
4,6,7.722468376159668
4,7,7.684644460678101
6,0,12.255377769470215
6,1,16.534162282943726
6,2,17.510671138763428
6,3,15.375857591629028
6,4,12.892983675003052
6,5,13.762192010879517
6,6,15.706589460372925
6,7,15.433054685592651
8,0,18.00431799888611
8,1,18.084505558013916
8,2,18.278503894805908
8,3,18.60955262184143
8,4,18.923876762390137
8,5,21.64034652709961
8,6,24.51496720314026
8,7,19.238329887390137
10,0,23.20085072517395
10,1,21.265393495559692
10,2,24.251797199249268
10,3,23.722238779067993
10,4,23.795793294906616
10,5,21.301097869873047
10,6,22.09097123146057
10,7,21.461769580841064
12,0,28.119314193725586
12,1,27.122427463531494
12,2,25.971067905426025
12,3,28.35961127281189
12,4,30.538849353790283
12,5,30.505030870437622
12,6,29.956214427947998
12,7,31.27857780456543
14,0,34.84324049949646
14,1,39.28777003288269
14,2,34.58696889877319
14,3,38.335464000701904
14,4,37.19077110290527
14,5,37.18994116783142
14,6,35.72247791290283
14,7,36.3340950012207
16,0,39.58398413658142
16,1,40.92378354072571
16,2,42.0935001373291
16,3,42.22786235809326
16,4,44.7631618976593
16,5,39.81380581855774
16,6,38.552565574645996
16,7,43.38590693473816
18,0,438.82332372665405
18,1,74.2643187046051
18,2,77.77926349639893
18,3,516.4076316356659
18,4,368.15183544158936
18,5,139.28881669044495
18,6,59.53710412979126
18,7,68.38855791091919
20,0,562.764119386673
20,1,294.7319493293762
20,2,389.8175654411316
20,3,460.34839367866516
20,4,294.6976399421692
20,5,220.11771941184998
20,6,626.5974373817444
20,7,488.42648243904114
